Date,Classification,AvgPnL,TotalPnL,TotalVolume,WinRate,Sentiment score,RollingPnL
2024-04-04,Greed,-0.295181,-0.295181,843.38,0.0,70,17.973872285714286
2024-04-05,Extreme Greed,12.657480000000001,12.657480000000001,1247.52,1.0,79,19.945914285714284
2024-04-07,Extreme Greed,-0.534066,-0.534066,1525.9,0.0,78,0.4267487142857166
2024-04-10,Extreme Greed,191.54207399999999,191.54207399999999,12499.7,1.0,78,28.66875357142857
2024-04-12,Extreme Greed,5.162969,10.325938,14117.98,0.5,79,30.250431571428575
2024-04-13,Greed,23.368267,46.736534,2279.7,0.5,72,37.188716
2024-04-14,Greed,5.733613,5.733613,293.62,1.0,72,38.023770285714285
2024-04-15,Greed,126.58238899999999,126.58238899999999,3999.71,1.0,74,56.14913742857143
2024-04-23,Greed,7.403613333333333,22.21084,1093.6299999999999,1.0,71,57.51390314285714
2024-04-29,Greed,4.090407,4.090407,480.64,1.0,67,58.17454214285714
2024-05-06,Greed,690.174946,690.174946,100136.78,1.0,71,129.40780957142857
2024-05-09,Greed,4.876985,4.876985,602.9,1.0,55,128.6293877142857
2024-05-13,Greed,104.499908,104.499908,4281.41,1.0,57,136.88129828571428
2024-05-15,Greed,-3.9574445,-7.914889,22613.97,0.0,64,134.9315122857143
2024-05-16,Greed,-0.0819095,-0.163819,468.06,0.0,70,116.82491114285713
2024-05-21,Extreme Greed,-0.696087,-0.696087,1988.82,0.0,76,113.552493
2024-05-23,Extreme Greed,0.695699,2.087097,4940.82,0.3333333333333333,76,113.26630585714285
2024-05-27,Greed,47.557629,47.557629,2223.67,1.0,74,21.463832
2024-05-29,Greed,-0.0775585,-0.155117,443.19,0.0,72,20.74496028571429
2024-06-03,Greed,3.6051595,7.210319,443.84,0.5,73,6.8464475714285715
2024-06-06,Extreme Greed,2.4114885,4.822977,878.4,0.5,78,8.666142714285716
2024-06-07,Extreme Greed,-0.01784,-0.01784,94.73,0.0,77,8.686996857142857
2024-06-09,Extreme Greed,-0.00839,-0.00839,70.47,0.0,75,8.785239285714285
2024-06-10,Greed,-0.194195,-0.194195,554.85,0.0,72,8.459340428571428
2024-06-12,Greed,-0.01749,-0.01749,115.1,0.0,72,1.6628948571428572
2024-06-17,Greed,634.157007,634.157007,6589.82,1.0,71,92.27891257142858
2024-06-21,Greed,-0.00349,-0.00349,24.99,0.0,63,91.24836842857142
2024-06-26,Neutral,-2.1086894999999997,-4.217378999999999,12155.220000000001,0.0,46,89.95688900000002
2024-06-27,Fear,-10.49977,-10.49977,29999.34,0.0,40,88.45947042857144
2024-07-03,Neutral,192.056646,384.113292,10377.08,0.5,50,143.33399642857142
2024-07-06,Fear,-24.296405,-48.59281,118.65,0.0,26,136.41990857142858
2024-07-15,Neutral,-0.639936,-0.639936,1828.39,0.0,52,136.33098771428573
2024-07-17,Greed,0.5269137500000001,2.1076550000000003,6190.08,0.5,69,46.03822314285714
2024-07-18,Greed,130.13419199999998,130.13419199999998,29998.29,1.0,61,64.62932057142856
2024-07-20,Greed,-0.195379,-0.195379,558.23,0.0,74,65.203892
2024-07-21,Greed,-0.21688100000000002,-0.21688100000000002,10.65,0.0,74,66.67287614285713
2024-07-22,Greed,-17.56812,-17.56812,281.34,0.0,70,9.289817285714284
2024-07-23,Greed,62.790087666666665,188.370263,1039.99,1.0,71,43.141684857142856
2024-07-25,Greed,-0.18562800000000002,-0.37125600000000003,1060.73,0.0,68,43.18006771428571
2024-07-26,Greed,-0.45218600000000003,-0.9043720000000001,2583.92,0.0,68,42.749778142857146
2024-07-27,Greed,315.8792425,631.758485,82123.84,1.0,72,114.41039142857143
2024-07-30,Greed,-3.523499,-3.523499,10067.14,0.0,67,113.9349457142857
2024-08-02,Greed,-1.346042,-1.346042,3845.84,0.0,57,113.77363699999998
2024-08-04,Fear,-0.257652,-0.257652,736.15,0.0,34,116.24656099999997
2024-08-05,Fear,-0.021114,-0.021114,60.33,0.0,26,89.33350714285713
2024-08-06,Extreme Fear,-0.021,-0.021,240.0,0.0,17,89.3835437142857
2024-08-09,Neutral,-0.048693,-0.048693,139.12,0.0,48,89.50578357142857
2024-08-10,Fear,-0.0026,-0.0026,91.0,0.0,40,-0.7458
2024-08-14,Fear,-1.271095,-1.271095,3631.7,0.0,30,-0.42402799999999996
2024-09-01,Fear,-0.525034,-0.525034,1500.1,0.0,26,-0.3067411428571428
2024-09-20,Neutral,-0.8151435,-1.630287,16982.170000000002,0.0,54,-0.5028318571428572
2024-09-21,Neutral,1629.0759165,3258.151833,15016.59,1.0,54,464.9504462857143
2024-09-24,Neutral,-0.586902,-0.586902,6113.57,0.0,54,464.86960314285716
2024-09-26,Neutral,-0.35210199999999997,-1.4084079999999999,14670.960000000001,0.0,50,464.67535814285714
2024-09-27,Greed,-0.06620903846153846,-1.7214349999999998,17931.9,0.0,61,464.42981028571427
2024-09-28,Greed,-0.6211460000000001,-1.8634380000000001,19410.84,0.0,64,464.3451898571428
2024-09-30,Greed,9.645399404255318,453.33377199999995,34738.92,0.02127659574468085,61,529.1821621428571
2024-10-07,Neutral,-10.49987,-10.49987,29999.63,0.0,50,527.9150788571428
2024-10-15,Greed,206.081179,206.081179,10211.83,1.0,65,91.90498542857142
2024-10-25,Greed,1961.1004154999998,7844.401661999999,21029.71,1.0,72,1212.6176374285712
2024-10-31,Extreme Greed,15.087053,15.087053,24938.28,1.0,77,1214.9741318571428
2024-11-04,Greed,-1.815402,-1.815402,5186.86,0.0,70,1214.960708
2024-11-09,Extreme Greed,-0.008569,-0.008569,71.59,0.0,75,1215.2256892857142
2024-11-11,Extreme Greed,-0.8330468,-4.165234,41652.37,0.0,76,1149.8686884285714
2024-11-12,Extreme Greed,-0.3887895,-0.777579,2221.66,0.0,80,1151.257587142857
2024-11-14,Extreme Greed,-4.375857,-4.375857,12502.45,0.0,88,1121.192296285714
2024-11-17,Extreme Greed,-6.6470839999999995,-13.294167999999999,45936.29,0.0,90,-1.3356794285714284
2024-11-18,Extreme Greed,-0.35342199999999996,-1.060266,10602.68,0.0,83,-3.642439285714285
2024-11-20,Extreme Greed,-1.5099567142857142,-10.569697,31873.42,0.0,83,-4.893052857142856
2024-11-21,Extreme Greed,14.388767999999999,14.388767999999999,500.25,1.0,82,-2.836290428571428
